subject,link,goal
Roi_de_mon_salut,suivant,Masiya_azali_lisekua
Oui_je_le_vois,suivant,Dans_les_cieux
Au_dessus_de_tout,suivant,Dieu_est_fidèle
Majesté,suivant,Abrite_moi
Abrite_moi,suivant,Et_moi
Je_lève_mes_yeux,suivant,Reçois_de_moi
Hosanna,suivant,Il_est_le_même
Il_est_le_même,suivant,Tu_es_le_Dieu_des_miracles
Tu_es_le_Dieu_des_miracles,suivant,Jehova
Roi_de_mon_salut,suivant,Tout_genoux_flechissent
Tout_genoux_flechissent,suivant,Le_nom_de_Jésus
Tu_es_Yahwe,suivant,Parfum
Il_est_le_même,suivant,La_joie_du_Seigneur
La_joie_du_Seigneur,suivant,Si_je_rappelle_à_Dieu
Alpha_Oméga,suivant,Tu_es_digne
Roi_de_mon_salut,suivant,Dans_les_cieux
Dans_les_cieux,suivant,Nous_nous_prosternons
Je_ramène_mon_coeur_au_trône,suivant,Je_me_livre_totalement
Au_dessus_de_tout,suivant,Jésus_nous_te_couronnons
Emmanuel,suivant,Quand_je_contemple_ta_sainteté
Quand_je_contemple_ta_sainteté,suivant,Gloire_à_l_agneau
Gloire_à_l_agneau,suivant,Oui_je_le_vois
Oui_je_le_vois,suivant,Rien_n_est_égal
Rien_n_est_égal,suivant,Masiya_azali_lisekua
Masiya_azali_lisekua,suivant,Eliya
Eliya,suivant,De_gloire_en_gloire
Obongi_na_nkembo,suivant,Nako_bosana_te
Dans_les_cieux,suivant,Dieu_est_fidèle
Dieu_est_fidèle,suivant,Je_ramène_mon_coeur_au_trône
Je_ramène_mon_coeur_au_trône,suivant,J_entre_dans_le_saint_des_saints
Adonaï_le_Dieu_créateur,suivant,Reçois_l_adoration
Reçois_l_adoration,suivant,Jésus_le_prince_glorieux
Jésus_le_prince_glorieux,suivant,Devant_ton_sanctuaire
Devant_ton_sanctuaire,suivant,Dans_les_parvis
Dans_les_parvis,suivant,Divine_Amour
Nous_nous_prosternons,suivant,Mon_âme_soupir
Parfum_qui_chante,suivant,Loyembo_ya_mitema
Loyembo_ya_mitema,suivant,Yahweh
Yahweh,suivant,Il_a_reçu_le_nom
Akumama,suivant,Ah_nini_Yesu
Ah_nini_Yesu,suivant,Wamilele
Wamilele,suivant,Nakotika_te_Yesu_apona_ngai
Nakotika_te_Yesu_apona_ngai,suivant,Masiya_akumama
Masiya_akumama,suivant,Toko_longa
Toko_longa,suivant,Là_haut
Je_veux_me_réjouir,suivant,Ce_que_je_veux
Au_dessus_de_tout,suivant,Seigneur_tu_es_plus_précieux
El_Shaddai,suivant,Tu_es_plus_grand
L_Eternel_est_bon,suivant,Mon_âme_béni_l_Eternel
Yahwe_biso_tobelemi,suivant,Mon_âme_soupir
Rien_n_est_égal,suivant,Le_nom_de_Jésus
